HTR.X,,xx
HUNT.X,,xx
HUSD.X,,xx
HXRO.X,,xx
HYDRA.X,,xx
IBBTC.X,,xx
IBEUR.X,,xx
ICHI.X,,xx
ICP.X,ICP-USD,cb
ICX.X,,xx
IDEX.X,,xx
ILV.X,,xx
IMX.X,IMX-USDC,cb
INJ.X,INJ-USDC,cb
ION.X,,xx
IOST.X,,xx
IOTX.X,,xx
IQ.X,,xx
IRIS.X,,xx
JASMY.X,JASMY-USDC,cb
JEWEL.X,,xx
JOE.X,,xx
JST.X,,xx
JUNO.X,,xx
KAI.X,,xx
KAVA.X,,xx
KCS.X,,xx
KDA.X,,xx
KEEP.X,,xx
KILT.X,,xx
KIN.X,,xx
KIRO.X,,xx
KISHU.X,,xx
KLAY.X,,xx
KLV.X,,xx
KNC.X,,xx
KNCL.X,,xx
KOGE.X,,xx
KP3R.X,,xx
KSM.X,KSM-USDC,cb
KUB.X,,xx
LAT.X,,xx
LDO.X,LDO-USDC,cb
LEND.X,,xx
LEO.X,,xx
LINA.X,,xx
LINK.X,LINK-USD,cb
LN.X,,xx
LOOKS.X,,xx
LOOMOLD.X,,xx
LPT.X,LPT-USDC,cb
LRC.X,LRC-USD,cb
LSK.X,,xx
LTC.X,LTC-USDC,cb
LTO.X,,xx
LUNA.X,,xx
LUSD.X,,xx
LYXE.X,,xx
MAGIC.X,MAGIC-USDC,cb
MAID.X,,xx
MANA.X,MANA-USDC,cb
MASK.X,,xx
MATIC.X,MATIC-USD,cb
MBOX.X,,xx
MC.X,,xx
MDX.X,,xx
MED.X,,xx
META.X,,xx
METIS.X,METIS-USD,cb
MIM.X,,xx
MIMATIC.X,,xx
MINA.X,MINA-USDC,cb
MIOTA.X,,xx
MIR.X,,xx
MKR.X,MKR-USDC,cb
MLK.X,,xx
MLN.X,MLN-USDC,cb
MNGO.X,,xx
MOVR.X,,xx
MPL.X,MPL-USD,cb
MSOL.X,,xx
MTL.X,,xx
MUSD.X,,xx
MX.X,,xx
MXC.X,,xx
NEAR.X,NEAR-USD,cb
NEO.X,,xx
NEXO.X,,xx
NFT.X,,xx
NKN.X,NKN-USDC,cb
NMR.X,NMR-USD,cb
NPXS.X,,xx
NRV.X,,xx
NTVRK.X,,xx
NU.X,,xx
NXM.X,,xx
OCEAN.X,OCEAN-USD,cb
OGN.X,,xx
OHM.X,,xx
OKB.X,,xx
OKT.X,,xx
OMG.X,,xx
OMI.X,,xx
ONE.X,,xx
ONT.X,,xx
ORBS.X,,xx
ORN.X,,xx
OSMO.X,,xx
OUSD.X,,xx
OXT.X,,xx
OXY.X,,xx
PAXG.X,,xx
PEAK.X,,xx
PEOPLE.X,,xx
PERP.X,PERP-USDC,cb
PLA.X,,xx
PLEX.X,,xx
POKT.X,,xx
POLS.X,POLS-USDC,cb
POLY.X,,xx
POWR.X,,xx
PRCH.X,,xx
PRE.X,,xx
PRO.X,,xx
PROM.X,,xx
PUNDIX.X,,xx
PYR.X,,xx
QANX.X,,xx
QI.X,,xx
QKC.X,,xx
QNT.X,QNT-USDC,cb
QRDO.X,,xx
QTUM.X,,xx
QUACK.X,,xx
RACA.X,,xx
RAD.X,,xx
RAI.X,,xx
RAIL.X,,xx
RARE.X,RARE-USDC,cb
RAY.X,,xx
RBN.X,,xx
RDPX.X,,xx
REEF.X,,xx
REGEN.X,,xx
REN.X,,xx
RENBTC.X,,xx
REP.X,,xx
REQ.X,,xx
RFOX.X,,xx
RGT.X,,xx
RIF.X,,xx
RISE.X,,xx
RLC.X,,xx
RLY.X,,xx
RMRK.X,,xx
RNDR.X,RNDR-USDC,cb
RON.X,,xx
ROOK.X,,xx
ROSE.X,ROSE-USDC,cb
RPL.X,,xx
RSR.X,RSR-USDC,cb
RUNE.X,,xx
RVN.X,,xx
SAFEMOON.X,,xx
SAI.X,,xx
SAMO.X,,xx
SAND.X,SAND-USDC,cb
SAPP.X,,xx
SBTC.X,,xx
SC.X,,xx
SCRT.X,,xx
SETH.X,,xx
SEUR.X,,xx
SFM.X,,xx
SFP.X,,xx
SFUND.X,,xx
SHIB.X,SHIB-USD,cb
SHIBDOGE.X,,xx
SKL.X,SKL-USD,cb
SLP.X,,xx
SNT.X,,xx
SNX.X,SNX-USDC,cb
SOL.X,SOL-USD,cb
SOS.X,,xx
SOUL.X,,xx
SOV.X,,xx
SPA.X,SPA-USD,cb
SPELL.X,SPELL-USDC,cb
SRM.X,,xx
STARL.X,,xx
STEEM.X,,xx
STETH.X,,xx
STMX.X,,xx
STORJ.X,,xx
STPT.X,,xx
STRAX.X,,xx
STRK.X,,xx
STRONG.X,,xx
STSOL.X,,xx
STX.X,STX-USD,cb
